block,trial,!Condition,!item,bgr,wgr,style,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,*
1,52,,M-WN-fish,2,2,1,Stimuli\TargetPosition37.bmp,"0,0,1",500,!Audio\M-WN-fish.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition37.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,53,,F-WN-foot,2,2,1,Stimuli\TargetPosition38.bmp,"0,0,1",500,!Audio\F-WN-foot.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition38.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,54,,M-WN-frog,2,2,1,Stimuli\TargetPosition39.bmp,"0,0,1",500,!Audio\M-WN-frog.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition39.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,55,,F-NN-girl,2,2,1,Stimuli\TargetPosition40.bmp,"0,0,1",500,!Audio\F-NN-girl.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition40.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,56,,M-NN-hair,2,2,1,Stimuli\TargetPosition41.bmp,"0,0,1",500,!Audio\M-NN-hair.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition41.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,57,,F-WN-hand,2,2,1,Stimuli\TargetPosition42.bmp,"0,0,1",500,!Audio\F-WN-hand.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition42.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
0,58,FlyReward3,,0,0,1,!Audio\FlyYum.wav,"0,0,0",0,_Animation\FlyReward3.gif(1024x768),"0,0,0",2500,*,,,,,,,,,,,,,,,,,,,,,,,,
0,59,,,0,0,1,Background\Background_FlyReward3.bmp,"0,0,1",0,!Audio\FlyReward3.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",11000,*,,,,,,,,,,,,,,,,,,,,,
1,60,Set 3,M-WN-head,2,2,1,Stimuli\TargetPosition43.bmp,"0,0,1",500,!Audio\M-WN-head.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition43.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,61,,F-NN-horse,2,2,1,Stimuli\TargetPosition44.bmp,"0,0,1",500,!Audio\F-NN-horse.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition44.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,62,,M-NN-house,2,2,1,Stimuli\TargetPosition45.bmp,"0,0,1",500,!Audio\M-NN-house.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition45.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,63,,F-NN-leaf,2,2,1,Stimuli\TargetPosition46.bmp,"0,0,1",500,!Audio\F-NN-leaf.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition46.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,64,,M-WN-man,2,2,1,Stimuli\TargetPosition47.bmp,"0,0,1",500,!Audio\M-WN-man.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition47.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,65,,F-WN-mom,2,2,1,Stimuli\TargetPosition48.bmp,"0,0,1",500,!Audio\F-WN-mom.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition48.bmp,"0,0,0","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
