

# Program:          AlphaSim 
# Author:           B. Douglas Ward 
# Initial Release:  18 Jun 1997 
# Latest Revision:  09 Jun 2009 

# Data set dimensions: 
# nx =   240   ny =   240   nz =   130   (voxels)
# dx =  1.00   dy =  1.00   dz =  1.00   (mm)

# Gaussian filter widths: 
# sigmax =  3.40   FWHMx =  8.00 
# sigmay =  3.40   FWHMy =  8.00 
# sigmaz =  3.40   FWHMz =  8.00 

# Cluster connection radius: rmm =  1.00 

# Threshold probability: pthr = 5.000000e-03 

# Number of Monte Carlo iterations =  1000 

# Cl Size   Frequency    CumuProp     p/Voxel   Max Freq       Alpha
    307           176    0.921690  0.00190685          0    0.999997
    308           159    0.922124  0.00189963          0    0.999997
    309           145    0.922520  0.00189309          0    0.999997
    310           173    0.922993  0.00188711          0    0.999997
    311           181    0.923487  0.00187995          0    0.999997
    312           180    0.923979  0.00187243          0    0.999997
    313           163    0.924424  0.00186493          0    0.999997
    314           152    0.924839  0.00185812          0    0.999997
    315           173    0.925312  0.00185174          0    0.999997
    316           153    0.925730  0.00184447          0    0.999997
    317           156    0.926156  0.00183801          0    0.999997
    318           151    0.926568  0.00183140          0    0.999997
    319           159    0.927002  0.00182499          0    0.999997
    320           153    0.927420  0.00181822          0    0.999997
    321           178    0.927907  0.00181168          0    0.999997
    322           169    0.928368  0.00180405          0    0.999997
    323           153    0.928786  0.00179678          0    0.999997
    324           145    0.929182  0.00179018          0    0.999997
    325           146    0.929581  0.00178391          0    0.999997
    326           141    0.929966  0.00177757          0    0.999997
    327           157    0.930395  0.00177143          0    0.999997
    328           153    0.930813  0.00176458          0    0.999997
    329           136    0.931184  0.00175787          0    0.999997
    330           155    0.931607  0.00175190          0    0.999997
    331           149    0.932014  0.00174507          0    0.999997
    332           146    0.932413  0.00173848          0    0.999997
    333           138    0.932790  0.00173201          0    0.999997
    334           124    0.933129  0.00172587          0    0.999997
    335           153    0.933547  0.00172034          0    0.999997
    336           131    0.933904  0.00171350          0    0.999997
    337           139    0.934284  0.00170762          0    0.999997
    338           168    0.934743  0.00170136          0    0.999997
    339           141    0.935128  0.00169378          0    0.999997
    340           145    0.935524  0.00168740          0    0.999997
    341           133    0.935887  0.00168081          0    0.999997
    342           131    0.936245  0.00167475          0    0.999997
    343           119    0.936570  0.00166877          0    0.999997
    344           118    0.936892  0.00166332          0    0.999997
    345           125    0.937234  0.00165790          0    0.999997
    346           123    0.937570  0.00165214          0    0.999997
    347           123    0.937906  0.00164646          0    0.999997
    348           125    0.938247  0.00164076          0    0.999997
    349           118    0.938569  0.00163495          0    0.999997
    350           145    0.938965  0.00162945          0    0.999997
    351           127    0.939312  0.00162267          0    0.999997
    352           134    0.939678  0.00161672          0    0.999997
    353           111    0.939981  0.00161042          0    0.999997
    354           122    0.940315  0.00160519          0    0.999997
    355           129    0.940667  0.00159942          0    0.999997
    356           140    0.941049  0.00159330          0    0.999997
    357           111    0.941353  0.00158665          0    0.999997
    358           138    0.941729  0.00158135          0    0.999997
    359            95    0.941989  0.00157476          0    0.999997
    360           116    0.942306  0.00157020          0    0.999997
    361           108    0.942601  0.00156462          0    0.999997
    362           114    0.942912  0.00155942          0    0.999997
    363           140    0.943295  0.00155391          0    0.999997
    364           120    0.943622  0.00154712          0    0.999997
    365           121    0.943953  0.00154129          0    0.999997
    366           112    0.944259  0.00153539          0    0.999997
    367           105    0.944546  0.00152991          0    0.999997
    368            84    0.944775  0.00152477          0    0.999997
    369           114    0.945086  0.00152064          0    0.999997
    370            97    0.945351  0.00151502          0    0.999997
    371           122    0.945684  0.00151023          0    0.999997
    372            98    0.945952  0.00150418          0    0.999997
    373            93    0.946206  0.00149932          0    0.999997
    374            96    0.946468  0.00149468          0    0.999997
    375           116    0.946785  0.00148989          0    0.999997
    376            86    0.947020  0.00148408          0    0.999997
    377           105    0.947307  0.00147976          0    0.999997
    378           146    0.947706  0.00147447          0    0.999997
    379            94    0.947962  0.00146710          0    0.999997
    380           108    0.948257  0.00146235          0    0.999997
    381           118    0.948580  0.00145687          0    0.999997
    382            99    0.948850  0.00145086          0    0.999997
    383           101    0.949126  0.00144581          0    0.999997
    384            89    0.949369  0.00144064          0    0.999997
    385           101    0.949645  0.00143608          0    0.999997
    386           105    0.949932  0.00143089          0    0.999997
    387            98    0.950199  0.00142548          0    0.999997
    388            99    0.950470  0.00142041          0    0.999997
    389            93    0.950724  0.00141528          0    0.999997
    390            97    0.950989  0.00141045          0    0.999997
    391           103    0.951270  0.00140540          0    0.999997
    392            85    0.951502  0.00140002          0    0.999997
